model	 train	  test       iter	trainLoss	 testLoss	  trainIF	  trainCR   trainAccuracy	   testIF	   testCR    testAccuracy	
conv	 10000	   200	   354498	 0.085354	 0.934313	 4.002100	 3.998500	 0.999100	 4.435000	 2.835000	 0.639233	
IP	 10000	   200	    91058	 0.788070	 0.912908	 4.260400	 3.005500	 0.705450	 4.240000	 2.780000	 0.655660	
IP	 10000	   200	   163172	 0.682691	 0.879430	 4.191400	 3.149400	 0.751396	 4.150000	 2.770000	 0.667470	
IP*3	   200	    20	    15134	 0.059997	 1.723528	 4.000000	 4.000000	 1.000000	 6.200000	 2.250000	 0.362903		
IP*3	   500	    20	    29806	 0.074751	 1.189251	 4.004000	 4.000000	 0.999001	 5.650000	 2.850000	 0.504425	
IP*3	  1000	    20	    44253	 0.177423	 0.958976	 4.014000	 3.961000	 0.986796	 4.100000	 2.550000	 0.621951	
IP*3	  1000	    20	    60051	 0.079869	 0.963614	 4.000000	 3.997000	 0.999250	 4.500000	 2.900000	 0.644444	
IP*3	  1000	    20	    65105	 0.068793	 1.042602	 4.001000	 4.000000	 0.999750	 3.550000	 2.300000	 0.647887	
IP*3	  1000	    20	    65581	 0.054502	 0.911668	 4.000000	 4.000000	 1.000000	 4.000000	 2.650000	 0.662500	
IP*3	  1000	    20	   100831	 0.019868	 0.956590	 4.000000	 4.000000	 1.000000	 4.150000	 2.600000	 0.626506		
IP*3	  3000	   200	   171381	 0.115004	 1.045895	 4.012667	 3.985667	 0.993271	 4.410000	 2.695000	 0.611111	
IP*3	  3000	   200	   201412	 0.066853	 1.034000	 4.003333	 3.998333	 0.998751	 4.415000	 2.630000	 0.595696	
IP*3	  3000	   200	   203402	 0.062211	 1.033723	 4.000667	 3.998000	 0.999333	 4.370000	 2.635000	 0.602975	
IP*3	  3000	   200	   212838	 0.020042	 1.009731	 4.000000	 4.000000	 1.000000	 4.350000	 2.660000	 0.611494	
IP*3	 10000	   200	  2379912	 0.028832	 0.884521	 3.995400	 3.993300	 0.999474	 4.395000	 2.970000	 0.675768	
IP*3	 10000	   200	  2380363	 0.028832	 0.884522	 3.995400	 3.993300	 0.999474	 4.395000	 2.970000	 0.675768	
IP*4	 19000	  1000	  2313094	 0.543078	 0.800781	 4.170632	 3.395158	 0.814063	 4.231000	 2.946000	 0.696289	
IP*4	  1000	    20	   156998	 0.020578	 0.932631	 4.000000	 4.000000	 1.000000	 4.400000	 2.750000	 0.625000	
IP*4	   500	    20	   141763	 0.136881	 1.143831	 4.006000	 4.000000	 0.998502	 6.250000	 3.250000	 0.520000	
conv4	   200	  1000	    16319	 0.033315	 1.605267	 4.000000	 4.000000	 1.000000	 8.670000	 2.723000	 0.314072	
conv4	   200	  1000	    16319	 0.033315	 1.608415	 4.000000	 4.000000	 1.000000	 8.648000	 2.665000	 0.308164	
conv4	   200	  1000	    16319	 0.033315	 1.608415	 4.000000	 4.000000	 1.000000	 8.648000	 2.665000	 0.308164	
IP*4	   500	  1000	   141763	 0.136881	 1.344359	 4.006000	 4.000000	 0.998502	 6.310000	 2.810000	 0.445325	
IP*4	   500	    20	   141763	 0.136881	 1.143831	 4.006000	 4.000000	 0.998502	 6.250000	 3.250000	 0.520000		
IP*4	   500	  1000	   141763	 0.136881	 1.344359	 4.006000	 4.000000	 0.998502	 6.310000	 2.810000	 0.445325	
IP*4	     1	  1000	     1301	 0.000102	 3.184871	 4.000000	 4.000000	 1.000000	 4.000000	 0.653000	 0.163250
IP*4	   500	  1000	    50020	 0.011800	 1.342105	 4.000000	 4.000000	 1.000000	 5.543000	 2.509000	 0.452643	
IP*3	   500	  1000	    39044	 0.007368	 1.307777	 4.000000	 4.000000	 1.000000	 5.295000	 2.413000	 0.455713	
conv4	   500	  1000	    25989	 0.062773	 1.392574	 4.000000	 4.000000	 1.000000	 7.042000	 2.727000	 0.387248	
cv+IP*3	   500	  1000	     5608	 0.009417	 1.283239	 4.000000	 4.000000	 1.000000	 4.746000	 2.249000	 0.473873	
IP*3	   500	  1000	     2329	 0.009527	 1.344597	 4.000000	 4.000000	 1.000000	 6.082000	 2.597000	 0.426998	
cv+IP*3	 10000	  1000	    22501	 0.164561	 1.029676	 4.061200	 3.900100	 0.960332	 4.399000	 2.655000	 0.603546	
cv+IP*3	 10000	  1000	    27206	 0.004777	 0.955414	 3.998100	 3.997700	 0.999900	 4.336000	 2.751000	 0.634456	
cv+IP*3	 10000	   200	    27206	 0.004777	 0.900890	 3.998100	 3.997700	 0.999900	 4.375000	 2.900000	 0.662857	
